언론사,기사1,기사2,기사3,기사4,기사5
오마이뉴스,컷오프 됐다 기사회생했던 김진태 명태균과 김 여사 덕분?,"""명태균 창원국가산단 대외비 문건 봤나? 내부조사 필요""",윤 대통령 긍정 20%...TK도 30% 벽 무너졌다,"독도의 날에 시민들 ""독도 지우기 자행하는 윤석열 정권 퇴진""","[단독] ""영화계 좌파"" 발언 평론가 영화 투자 입김 출자전략위원 위촉"
서울신문,“최동석 18억 가압류 건 압구정 아파트…박지윤 42억에 팔았다”,김수미 사인은 ‘고혈당 쇼크’…“당뇨 수치 500 넘었다”,“개 뛰어서 잠 못 잔다”던 이웃…옥상에 압정 깔렸다,김수미 별세  유인촌 “스타 잃었다기보다 가족 잃은 것 같다”,[속보] 대통령실 “지지율 하락 엄중 인식…국민 목소리 귀 기울일 것”
전자신문,“합성인줄”…브루노 마스 한글로 “아파트 첫 음방 1위 아침 내내 울어ㅠㅠ” 소감,“실손보험 청구 오늘부터 방문·서류 없이 온라인에서”,105세 할머니의 장수 비결은?… “결혼은 하지 말고 '이것' 마셔라”,'北파병' 태도 바꾼 러…푸틴 부인 않고 “우리가 알아서 할 일”,MS 팀즈 오전 8시부터 장애로 글로벌 먹통...아직도 복구 안돼
한국일보,31세에 '몸뻬바지' 입고 '일용엄니'로... 파격으로 정겨움 준 김수미,또 음주운전 ‘장군의 아들’ 주연배우 박상민에 검찰 징역형 구형,"""보험사 낼 서류 떼 주세요""는 그만... 앱으로 보험금 청구 가능",노소영에게 4년간 21억 빼돌린 '간 큰' 비서 징역 5년,[속보] 현대차 이어 기아도…분기 실적 역대 최대 올렸다
아시아경제,"""업소 다녔다"" 율희 폭로에…최민환 성매매 혐의로 고발 당해","김수미 아들 ""어머니 사인은 고혈당 쇼크…출연료 미지급에 고통""",관중이 던진 폭죽 줍다가 '펑'…손가락 절단된 축구 선수,스스로 다가와 몸에 '착'…하반신 마비 환자가 일어섰다[과학을 읽다],대형마트 오븐에 갇혀 숨진 19살 딸…함께 일하던 엄마가 발견
헤럴드경제,“이제 전국민 필수앱인데” 음란물 ‘천지’에도 나몰라라…이래도 돼?,귀찮아서 안 했던 실손보험 청구 이제는 서류 없어도 보험금 받는다,김수미 사인은 ‘고혈당 쇼크사’…“뮤지컬 ‘친정엄마’ 출연료 미지급 스트레스 많았다”,“성매매 업소 다녔다” 율희 폭로에…최민환 활동 중단·‘성매매 혐의’ 경찰 내사중(종합),“멀쩡한 걸 다 버려?” 계절 바뀌니 또 쏟아질 ‘옷 쓰레기’ [지구 뭐래?]
한겨레,교보문고에 ‘한강 책’ 반품하는 동네서점 “주문 안 받을 땐 언제고…”,“관저 ‘온 국민 염장 지를’ 김건희 호화시설…감사회의록에 있다” [영상],배우 김수미 “다들 건강하시고 또 만나요” 마지막 인사 될 줄은…,‘일용 엄니’ 배우 김수미 별세…활동 중단 5개월 만에,종이책 독해력 8배 높여…“읽는 동안 뇌는 재창조된다”
프레시안,"""지금도 딸이 '다녀왔습니다'라면서 문 열고 들어올 것 같아요""","경북도지사 ""TK 민심 어려운 점 있다…영부인 자제하면 인정할 것""","""돌 맞아도 간다고? 던져 말어…""[손문상의 그림세상]","김경율 ""돌 던져도 나는 역주행 한다? 던지는 국민이 문제인가?""","이재명 ""'북괴군 폭격' 문자 신원식 문책하고 한기호 제명해야"""
조선일보,韓 “죽음의 전쟁터에 병사 버려” 비판하자… 北 “북한 호칭 말라” 딴소리,“새벽 3시 대남방송 일상 무너졌다”… 국감서 무릎꿇은 강화도 엄마,김용건 “김수미 2주 전 통화 땐 목소리 좋았는데…너무 일찍 떠났다”,[단독] “못사고 돌아왔다”... 삼성전자 갤Z폴드 슬림 출시 시간 못맞춰,일용엄니·욕쟁이 이어 ‘손맛 예능’... 세상을 웃게하고 떠났다
디지털타임스,"[속보] 조국 `독도의날` 국가기념일 지정법 발의…""윤정권 노골적 숭일 행태 근절""","대통령실 ""지지율 엄중 인식…국민 목소리에 귀기울일 것""",19세 여직원 빵굽는 대형 오븐 안 숨진채 발견…캐나다 월마트 폐쇄,[강민성의 헬스토리] 복부팽만·가스차는 배…무엇이 문제일까?,"`공천개입 의혹` 명태균 ""가스비도 못내는데 내가 무슨""…체납자 명단 올라"
국민일보,김수미 아들 “母 사인은 ‘고혈당 쇼크’…스트레스 많아”,‘일용엄니’ 국민배우 김수미 별세… 향년 75세,“반성했다”던 박상민 세번째 음주운전…‘징역형’ 위기,‘성매매 의혹’ 최민환 활동 중단…경찰 내사 착수,이거 어쩌지 미국도 한국도 심상찮다… 스타벅스 위기
조선비즈,“카리나 차에서 못 내렸다”… 성수 프라다 행사에 인파 몰려 ‘위험천만’,김수미 사인은 고혈당 쇼크… 아들 “당뇨 수치 500 넘어”,‘반도체 겨울론’ 모건스탠리 “하이닉스 전망 틀렸다” 반성문... 33만 목표가도 나와,경찰청장 文 전 대통령 딸 다혜씨 불법숙박업 의혹 “경찰이 수사”,기아 영업이익 2조8813억원…3분기 기준 역대 최대
